mt,src,score
"Dlatego oferujemy nauczycielom premie, jeśli dzieci, których uczą, uzyskają pozytywne oceny z tych dużych testów, które są wykorzystywane do oceny jakości systemów szkolnych.",That's why we offer teachers bonuses if the children they teach get positive ratings from those big tests that are used to assess the quality of school systems.,4.083333333
"Odkryłem, że generał Tso to krewni, którzy wciąż są w małym miasteczku.",And I actually found a whole bunch of General Tso is relatives who are still in the little town.,3.416666667
Teraz Osi odniosły sukces.,Now the Axis have succeeded.,3.583333333
"Myślę, że cały świat został zasadniczo wychowany, by nie być dziewczyną.",I think the whole world has essentially been brought up not to be a girl.,4.583333333
A potem to jest ona tam.,And then that is her over there.,3.916666667
"To rewolucja, ponieważ jest to zmiana równowagi.",It's a revolution because it's a change of balance.,4.5
"Nauczanie religii jest tym, w którym popełniliśmy błąd, koncentrując się wyłącznie na wierze w zawiłe doktryny.","Teaching religion is the one in which we made a mistake, focusing solely on faith in complex doctrines.",4.083333333
"Ten konkretny, który został mi podarowany, znajduje piłki golfowe, zwłaszcza jeśli jesteś na polu golfowym i sprawdzasz pod wystarczającą ilością krzaków.",This particular one that was given to me finds golf balls especially if you are at a golf course and you check under enough bushes.,4.5
"Robią więc te wszystkie niesamowite rzeczy, które pomagają nam i są niezbędne do utrzymania nas przy życiu i nigdy nie mają na to żadnej presji.",So they do all these amazing things that help us and are vital for keeping us alive and they never get any press for that.,4.333333333
"Wiesz, że to po prostu śmieszne.",You know it's just funny.,4.666666667
Mogę przełączać się do różnych widoków danych. To właśnie jest fajne w tej aplikacji.,I can switch to different data views That is what is neat about this app here.,4.666666667
Z pewnością w tym pokoju nie było żadnych sporów w ciągu ostatnich czterech dni.,Surely there have been no disputes in this room in the last four days.,4.333333333
Teraz ta technologia obejmuje trzy duże elementy.,Now this technology includes three large elements.,4.666666667
"Tak się stało, gdy robimy bailouty.",While we are doing bailouts this is what happened.,3.75
Jedna to kwestia edukacji.,One is the question of education.,4.833333333
I właśnie to G20 jest instytucją opartą na traktatach.,And it is the G20 that is an institution based on treaties.,4.416666667
Złożyłem mu ofertę.,I made him an offer.,4.75
Tak to działa.,That is how it works.,5
"A to było bardzo niebezpieczne, jeśli chodzi o Dicka Feynmana.",And that was very dangerous when it came to Dick Feynman.,4
"Po zabiegu mniej więcej co tydzień uruchamiamy dziecko na zestawie prostych testów wizualnych, aby zobaczyć, jak jego umiejętności wzrokowe stają się na linii.",After the procedure about every week we start the child on a set of simple visual tests to see how his visual skills become on the line.,3.583333333
"I oczywiście te przekraczają wiek, rasę, kulturę, płeć.",And of course these transcend age race culture gender.,4.166666667
"Jeśli chodzi o naszą atmosferę, to jednak na dłuższą metę nie był to taki żart, ponieważ okazało się, że tracimy sporo tlenu.",When it came to our atmosphere however it wasn not that much of a joke over the long term because it turned out that we were losing oxygen quite a lot of oxygen.,4.083333333
To jest wiek a koszt opieki zdrowotnej.,This is age and the cost of health care.,4.083333333
Tutaj Gates robi coś dla Windowsa.,Here is Gates doing a thing for Windows.,4.5
A na dłuższą metę.,And in the long run.,5
"I osiągnęliśmy ten czas. Nie możemy sobie pozwolić na lekceważenie tego problemu. Jeśli stoimy w obliczu nieodwracalnych i katastrofalnych konsekwencji, musimy działać i musimy działać zdecydowanie.","And we have reached that time, and we cannot afford to ignore this problem, and if we are facing irreversible and catastrophic consequences, we must act and act decisively.",4.416666667
"To, co otrzymujesz, to świat, w którym starzy ludzie i stare miasta krążą wokół, robiąc rzeczy po staremu na północy.","What you're getting is a world where old people and old cities are circling around, doing things the way they were in the north.",4.333333333
"Więc namówił Joshuę Bella, żeby zabrał swoje skrzypce za milion dolarów na stację metra w Waszyngtonie, stanął w rogu i zobaczył, ile pieniędzy zarobi.",So he got Joshua Bell to take his million-dollar violin to the D.C. subway station and stand in the corner and see how much money he's gonna make.,4.25
"Aby naprawdę to zrozumieć, musisz powiedzieć „Och, rozumiem”.",To really understand it you have got to say Oh I get it.,4.5
"już zaczynasz widzieć balony i podpisy ze słowami, a tak naprawdę to tylko przeskok przeskoku i skok stąd do tego miejsca.","You're already starting to see balloons and word signatures, and it's really just a jump jump and jump from here to here.",3.666666667
To było zabawne.,That was funny.,4.666666667
Z tego punktu widzenia zmieniliśmy to w piękny projekt.,"From this point of view, we turned it into a beautiful project.",4.583333333
"Oto jedno z pierwszych miejsc, które znalazłem. Jest w Austin w Teksasie, skąd pochodzę.","This is one of the first places I found, and it's in Austin, Texas, where I come from.",4.666666667
"Myślisz, że szczegół jest obecny, ale go nie ma.",You think the detail is there but it isn not there.,4.166666667
To jest prosta rzecz.,It's a simple thing.,4.5
"IM Tak, to jest dokładnie.",IM Yeah it is exactly.,4.5
"A było ich 20, za które byłem odpowiedzialny, pracowałem na farmie i starałem się nadążyć za studiami.","And there were 20 of them, for which I was responsible, working on a farm and trying to keep up with college.",4.25
"Jeśli gramy więcej, rozwijamy większą dojrzałość emocjonalną.",We develop more emotional maturity if we play more.,4.5
"Jest to więc pełny cykl odwracalny, bardzo wydajny cykl i całkiem prosta rzecz do wykonania.","So it is a full cycle reversible, very efficient cycle and quite simple thing to do.",4.083333333
Niepisane książki przepowiadały przyszłość i przewidywały przeszłość.,Unwritten books foretold the future and predicted the past.,4
"Byłoby wspaniale móc pomachać do kogoś i sprawić, by wszystkie nasze reiteraty falowały w tym samym czasie.",It would be great to wave to someone and make all our reiterates wave at the same time.,3.833333333
Ale nawet w twardym obszarze polityki mamy innowacje.,But even on the hard policy area we have innovations.,4.166666667
"Jeśli mogę zapytać, czy płacisz za szkołę w swoim kraju.","If you don't mind me asking, do you pay for school in your country?",4.333333333
Moje umiejętności i mój potencjał.,My skills and my potential.,5
"Myślę, że jestem jedynym Szkotem na Edynburskim TED.",I think I'm the only Scotsman on the Edinburgh TED.,4.75
"Odkryli nowe wiązanie, nowy materiał na przezroczyste ogniwa słoneczne.","They discovered a new bond, a new material for transparent solar cells.",4.416666667
To tylko część twojego sąsiedzkiego obowiązku.,It is just part of your neighborly duty.,4.833333333
"Mam kilka spraw do załatwienia, więc wrócę po nich około piątej, jeśli nie masz nic przeciwko.","I have some errands to attend to, so I'll be back around 5:00 if you don't mind.",4.583333333
"Oczywiście zrozumiałem, że to, co sprawiło, że stał wysoko, tak, to były nogi, dziękuję bardzo, ale na początku była to godność.","Of course I realized that what made him stand high, yes, it was legs, thank you very much, but at first it was dignity.",4.333333333
"Myślą o tym, jak zrzucić ciężar na swoje stopy, ponieważ to całkiem naturalne, że noszą cię przez cały dzień.",They think about how to get the weight over their feet because it is sort of natural they carry you all day long.,4.416666667
To było niezwykłe.,That was unusual.,5
"Zacząłem więc przeglądać najlepsze zdjęcia, jakie udało mi się znaleźć.",So I started looking at the best pictures I could find.,4.666666667
"Chodzi mi o to, że to trochę banalna rzecz, ale to prawda, że ​​chcieli mieć centralne miejsce, w którym byłaby stołówka, gdzie przychodziliby ludzie i gdzie ludzie pracujący wchodziliby w interakcję.",I mean it is kind of a trite thing to say but it is real that they wanted to have a central place where the cafeteria would be where the people would come and where the people working would interact.,4.083333333
"Możemy więc zmienić metaforę. Nazwijmy konia trojańskiego statkiem, którym przedostajemy się przez bramę, pokonujemy ograniczenia projektu.","So we can change the metaphor, let's call the Trojan horse a ship that we get through the gate, overcome the limitations of the project.",4.5
"Musimy nie wiedzieć, dokąd to zmierza.",We must not know where this is going.,3.416666667
I wtedy pomyślałem o szklance czystej wody.,And then I thought about a glass of clean water.,4.916666667
Nie rozmawiamy o tym jako mężczyźni.,We don't talk about it as men.,4.25
"Ale prawdziwy kosztowałby tyle samo, co mój dom i dom obok niego, a właściwie każdy dom w bloku po obu stronach ulicy może wrzucona szkoła, a niektórzy znają kościół.","But the real one would cost as much as my house and house next to it, or actually every house in a block on both sides of the street can throw a school, and some people know the church.",3.833333333
"Opowiada nam o ich przeszłości, ale wykrycie sygnału mówi nam, że możemy mieć długą przyszłość.","He tells us about their past, but the signal detection tells us that we can have a long future.",4.333333333
Podczas orgazmu dochodzi do szczytu dopaminy.,During orgasm it reaches the peak of dopamine.,4.166666667
I to jest bardzo ważne dla interfejsu użytkownika.,And that is very important the user interface.,4.416666667
